frame_start,frame_end,support_promoted_pairs,support_mean_mask,hard_mean_mask,support_mean_inliers,hard_mean_inliers,support_mean_mps,hard_mean_mps,support_se3_rmse_m,hard_se3_rmse_m,support_segment_est_gt_ratio,hard_segment_est_gt_ratio
0,99,4,0.219445,0.219445,245.250000,246.500000,1578.980000,1551.670000,0.133075,0.135846,1.846514,1.773825
100,199,3,0.151639,0.151639,162.830000,165.370000,3136.170000,3008.990000,0.455497,0.442764,2.896008,2.945331
200,299,2,0.150058,0.150058,168.740000,166.110000,4076.680000,3980.590000,0.250496,0.260596,6.719652,7.682031
300,399,0,0.004480,0.004480,354.480000,362.370000,4639.650000,4563.580000,0.095527,0.077025,18.006528,15.712539
400,499,0,0.057018,0.057018,216.070000,206.200000,4362.560000,4335.090000,0.052990,0.054546,11.656818,12.906067
500,599,2,0.059799,0.059799,313.020000,312.070000,4871.900000,4830.260000,0.093013,0.094154,9.940095,8.475187
600,699,0,0.129593,0.129593,226.720000,229.880000,5393.900000,5320.860000,0.112111,0.105146,9.046933,9.743047
700,799,0,0.141666,0.141666,201.520000,187.590000,5674.880000,5550.040000,0.081936,0.053801,6.870122,7.009970
800,899,0,0.118106,0.118106,214.840000,198.740000,6177.150000,5986.020000,0.585857,0.551808,4.130987,3.934469
900,908,0,0.044136,0.044136,281.222222,255.666667,6228.222222,5997.666667,0.744669,0.686418,5.894697,5.319125
