case,frame_id,current_kf,local_kf,fixed_kf,local_mp,delayed_mp,optimizer_points,optimizer_edges,delayed_ratio,segment
v12,13,3,4,0,825,0,825,1447,0.000000000,0-149
v13,13,3,4,0,825,0,825,1447,0.000000000,0-149
v12,38,7,8,0,888,0,888,2246,0.000000000,0-149
v13,38,7,8,0,888,0,888,2246,0.000000000,0-149
v12,54,11,12,0,665,0,665,2579,0.000000000,0-149
v13,54,11,12,0,665,0,665,2579,0.000000000,0-149
v12,78,15,16,0,880,2,878,3741,0.002272727,0-149
v13,78,15,16,0,880,2,878,3741,0.002272727,0-149
v12,97,19,20,0,1434,1,1433,5280,0.000697350,0-149
v13,97,19,20,0,1434,1,1433,5280,0.000697350,0-149
v12,113,23,24,0,1678,2,1676,6693,0.001191895,0-149
v13,113,23,24,0,1678,2,1676,6693,0.001191895,0-149
v12,118,27,28,0,1844,1,1843,8145,0.000542299,0-149
v13,118,27,28,0,1844,1,1843,8145,0.000542299,0-149
v12,126,31,32,0,1802,1,1801,8644,0.000554939,0-149
v13,126,31,32,0,1802,1,1801,8644,0.000554939,0-149
v12,137,35,35,1,1890,1,1889,9248,0.000529101,0-149
v13,137,35,35,1,1890,1,1889,9248,0.000529101,0-149
v12,144,39,32,8,1988,1,1987,9814,0.000503018,0-149
v13,144,39,32,8,1988,1,1987,9814,0.000503018,0-149
v12,148,43,29,15,1844,1,1843,8989,0.000542299,0-149
v13,148,43,29,15,1844,1,1843,8989,0.000542299,0-149
v12,152,47,31,17,1770,1,1769,8950,0.000564972,150-299
v13,152,47,31,17,1770,1,1769,8950,0.000564972,150-299
v12,156,51,29,23,1862,1,1861,9548,0.000537057,150-299
v13,156,51,29,23,1862,1,1861,9548,0.000537057,150-299
v12,160,55,28,28,1912,1,1911,9966,0.000523013,150-299
v13,160,55,28,28,1912,1,1911,9966,0.000523013,150-299
v12,166,59,25,35,1776,1,1775,10117,0.000563063,150-299
v13,166,59,25,35,1776,1,1775,10117,0.000563063,150-299
v12,190,63,32,32,1895,1,1894,10360,0.000527704,150-299
v13,190,63,32,32,1895,1,1894,10360,0.000527704,150-299
v12,194,67,42,26,2035,1,2034,11671,0.000491400,150-299
v13,194,67,42,26,2035,1,2034,11671,0.000491400,150-299
v12,199,71,51,21,2159,2,2157,12739,0.000926355,150-299
v13,199,71,51,21,2159,2,2157,12739,0.000926355,150-299
v12,203,75,61,15,2432,1,2431,14293,0.000411184,150-299
v13,203,75,61,15,2432,1,2431,14293,0.000411184,150-299
v12,207,79,63,17,2356,1,2355,14581,0.000424448,150-299
v13,207,79,63,17,2356,1,2355,14581,0.000424448,150-299
v12,211,83,80,4,2619,1,2618,16587,0.000381825,150-299
v13,211,83,80,4,2619,1,2618,16587,0.000381825,150-299
v12,216,87,80,8,2701,1,2700,17217,0.000370233,150-299
v13,216,87,80,8,2701,1,2700,17217,0.000370233,150-299
v12,221,91,72,20,2603,1,2602,17218,0.000384172,150-299
v13,221,91,72,20,2603,1,2602,17218,0.000384172,150-299
v12,234,95,62,33,2397,1,2396,16651,0.000417188,150-299
v13,234,95,62,33,2397,1,2396,16651,0.000417188,150-299
v12,242,99,64,35,2494,2,2492,17268,0.000801925,150-299
v13,242,99,64,35,2494,2,2492,17268,0.000801925,150-299
v12,255,103,59,43,2360,1,2359,16716,0.000423729,150-299
v13,255,103,59,43,2364,1,2363,16711,0.000423012,150-299
v12,259,107,57,49,2299,1,2298,16753,0.000434972,150-299
v13,259,107,59,47,2297,1,2296,16727,0.000435350,150-299
v12,268,111,55,55,2002,1,2001,14919,0.000499500,150-299
v13,271,111,57,53,2090,1,2089,15287,0.000478469,150-299
v12,276,115,63,50,2385,1,2384,16843,0.000419287,150-299
v13,277,115,59,55,2360,1,2359,16150,0.000423729,150-299
v12,280,119,49,68,2213,1,2212,15340,0.000451875,150-299
v13,281,119,58,59,2456,1,2455,16937,0.000407166,150-299
v12,284,123,73,47,2946,1,2945,20766,0.000339443,150-299
v13,285,123,77,43,2989,1,2988,20980,0.000334560,150-299
v12,288,127,79,43,3097,1,3096,21381,0.000322893,150-299
v13,289,127,86,37,3176,1,3175,22285,0.000314861,150-299
v12,292,131,77,48,3090,1,3089,21905,0.000323625,150-299
v13,293,131,97,30,3278,1,3277,23404,0.000305064,150-299
v12,297,135,106,22,3291,1,3290,23027,0.000303859,150-299
v13,297,135,110,20,3362,1,3361,24070,0.000297442,150-299
v12,320,139,122,8,3645,1,3644,23899,0.000274348,300-549
v13,320,139,125,8,3699,1,3698,25033,0.000270343,300-549
v12,372,143,120,14,3452,1,3451,24228,0.000289687,300-549
v13,372,143,119,16,3491,1,3490,24862,0.000286451,300-549
v12,392,147,125,11,3348,1,3347,24401,0.000298686,300-549
v13,415,147,90,43,3050,1,3049,22954,0.000327869,300-549
v12,422,151,101,35,3125,1,3124,22798,0.000320000,300-549
v13,422,151,93,43,3095,1,3094,22714,0.000323102,300-549
v12,426,155,89,51,3185,1,3184,23332,0.000313972,300-549
v13,426,155,93,46,3221,1,3220,23257,0.000310463,300-549
v12,430,159,76,68,3012,1,3011,23699,0.000332005,300-549
v13,430,159,81,62,3095,1,3094,23322,0.000323102,300-549
v12,434,163,73,74,2947,1,2946,23758,0.000339328,300-549
v13,434,163,68,79,2898,1,2897,22889,0.000345066,300-549
v12,438,167,72,77,2769,1,2768,22957,0.000361141,300-549
v13,438,167,67,83,2670,1,2669,22393,0.000374532,300-549
v12,475,171,127,26,3290,1,3289,26631,0.000303951,300-549
v13,475,171,119,35,3316,1,3315,26335,0.000301568,300-549
v12,482,175,137,17,3380,1,3379,27597,0.000295858,300-549
v13,482,175,143,15,3500,1,3499,28057,0.000285714,300-549
v13,523,179,117,43,3810,1,3809,27952,0.000262467,300-549
v12,525,179,106,49,3647,1,3646,26863,0.000274198,300-549
v13,541,183,49,110,3085,1,3084,23520,0.000324149,300-549
v12,545,183,32,122,2685,1,2684,21217,0.000372439,300-549
v12,553,187,17,136,1982,1,1981,14812,0.000504541,550-599
v13,553,187,16,143,2034,1,2033,14762,0.000491642,550-599
v12,559,191,19,137,1906,1,1905,14889,0.000524659,550-599
v13,568,191,16,139,1756,1,1755,12059,0.000569476,550-599
v12,573,195,20,135,1719,1,1718,11599,0.000581734,550-599
v13,574,195,20,138,1835,1,1834,12297,0.000544959,550-599
v13,579,199,24,138,1826,1,1825,12658,0.000547645,550-599
v12,583,199,28,136,2084,1,2083,15768,0.000479846,550-599
v13,591,203,47,126,3007,1,3006,22193,0.000332557,550-599
v12,593,203,61,109,3460,1,3459,26707,0.000289017,550-599
v13,598,207,101,74,3934,1,3933,29849,0.000254194,550-599
v12,603,207,104,69,4116,1,4115,31749,0.000242954,600-799
v12,608,211,114,61,4498,1,4497,32875,0.000222321,600-799
v13,608,211,107,71,4441,1,4440,32289,0.000225175,600-799
v12,617,215,132,46,4365,1,4364,33278,0.000229095,600-799
v13,617,215,130,50,4475,1,4474,33230,0.000223464,600-799
v13,661,219,130,54,4443,1,4442,33695,0.000225073,600-799
v12,663,219,118,60,4415,1,4414,32541,0.000226501,600-799
v12,671,223,121,59,4701,1,4700,32628,0.000212721,600-799
v13,672,223,115,70,4693,1,4692,32764,0.000213083,600-799
v12,675,227,116,68,4508,1,4507,32931,0.000221828,600-799
v13,684,227,131,56,4296,1,4295,32474,0.000232775,600-799
v12,687,231,118,70,4209,1,4208,32295,0.000237586,600-799
v13,689,231,133,58,4213,1,4212,32726,0.000237361,600-799
v12,691,235,123,68,4121,1,4120,32539,0.000242660,600-799
v13,693,235,123,71,3938,1,3937,31705,0.000253936,600-799
v12,695,239,125,69,4049,1,4048,32634,0.000246975,600-799
v13,697,239,134,64,4037,1,4036,32758,0.000247709,600-799
v12,699,243,123,73,3870,1,3869,31774,0.000258398,600-799
v13,701,243,133,68,3898,1,3897,32262,0.000256542,600-799
v12,705,247,120,78,3973,1,3972,31819,0.000251699,600-799
v13,705,247,142,63,4294,1,4293,34103,0.000232883,600-799
v12,709,251,116,85,4005,1,4004,31941,0.000249688,600-799
v13,709,251,142,66,4294,1,4293,33873,0.000232883,600-799
v12,718,255,121,82,3926,1,3925,31681,0.000254712,600-799
v13,719,255,135,73,4198,1,4197,33136,0.000238209,600-799
v12,740,259,128,77,4040,1,4039,32309,0.000247525,600-799
v13,750,259,141,70,4121,1,4120,33526,0.000242660,600-799
v12,757,263,138,68,4028,1,4027,33182,0.000248262,600-799
v13,758,263,148,67,3995,1,3994,34292,0.000250313,600-799
v12,761,267,137,70,3963,1,3962,33208,0.000252334,600-799
v13,763,267,145,69,3958,1,3957,33765,0.000252653,600-799
v12,767,271,139,71,3957,1,3956,33875,0.000252717,600-799
v13,768,271,143,74,3795,1,3794,33771,0.000263505,600-799
v12,771,275,134,76,3796,1,3795,33057,0.000263435,600-799
v13,773,275,150,71,3950,1,3949,35017,0.000253165,600-799
v12,776,279,147,67,4002,1,4001,34418,0.000249875,600-799
v13,779,279,153,70,3806,1,3805,34706,0.000262743,600-799
v12,782,283,150,63,4022,1,4021,34010,0.000248633,600-799
v13,788,283,150,74,3784,1,3783,34447,0.000264271,600-799
v12,790,287,153,62,4019,1,4018,34397,0.000248818,600-799
v12,797,291,155,64,4003,1,4002,35077,0.000249813,600-799
v13,798,287,154,67,3806,1,3805,34121,0.000262743,600-799
v12,806,295,152,70,3800,1,3799,34670,0.000263158,800-908
v13,808,291,139,83,3724,1,3723,33972,0.000268528,800-908
v12,811,299,157,67,4196,1,4195,36081,0.000238322,800-908
v13,812,295,141,80,4140,2,4138,33407,0.000483092,800-908
v12,817,303,140,86,4526,2,4524,36041,0.000441891,800-908
v13,818,299,145,77,4550,2,4548,35065,0.000439560,800-908
v12,821,307,130,96,4565,2,4563,35076,0.000438116,800-908
v13,824,303,126,98,4787,2,4785,34141,0.000417798,800-908
v12,830,311,134,92,4800,1,4799,36433,0.000208333,800-908
v13,833,307,147,82,4885,1,4884,36847,0.000204708,800-908
v12,836,315,141,86,4767,1,4766,36496,0.000209776,800-908
v13,838,311,151,81,4691,1,4690,36750,0.000213174,800-908
v12,840,319,140,90,4577,1,4576,36136,0.000218484,800-908
v13,842,315,153,80,4737,1,4736,36456,0.000211104,800-908
v12,844,323,142,89,4672,1,4671,36102,0.000214041,800-908
v13,846,319,164,71,4906,1,4905,37069,0.000203832,800-908
v12,848,327,171,63,5109,1,5108,38249,0.000195733,800-908
v13,850,323,189,49,5079,1,5078,38245,0.000196889,800-908
v12,854,331,190,47,5008,1,5007,38805,0.000199681,800-908
v13,854,327,193,48,5015,1,5014,38752,0.000199402,800-908
v13,859,331,207,37,5177,1,5176,39705,0.000193162,800-908
v13,863,335,207,41,5160,1,5159,40184,0.000193798,800-908
v12,864,335,192,47,5043,1,5042,39134,0.000198295,800-908
v13,870,339,208,44,5113,1,5112,40469,0.000195580,800-908
v13,875,343,219,36,5139,1,5138,40935,0.000194590,800-908
v13,881,347,215,43,5053,1,5052,40834,0.000197902,800-908
v12,883,339,182,59,4922,1,4921,39027,0.000203169,800-908
v13,888,351,222,37,5144,1,5143,41206,0.000194401,800-908
v13,895,355,214,48,5092,1,5091,41133,0.000196386,800-908
v13,900,359,218,47,5114,1,5113,41538,0.000195542,800-908
v12,902,343,164,80,4656,1,4655,38352,0.000214777,800-908
v13,904,363,226,40,5089,1,5088,41446,0.000196502,800-908
v13,908,367,213,55,4990,1,4989,41243,0.000200401,800-908
