run,segment,lines,active_keyframes,support_low_keyframes,risk_keyframes,max_point_boost_sum,created_new_points_sum,consumed_depth_points_sum,accepted_depth_candidates_sum,boundary_skipped_new_candidates_sum
v17_both,0-149,87,67,67,23,3350,13087,39434,56652,2763
v17_both,150-299,120,119,119,37,5950,10009,31553,53452,2895
v17_both,300-549,91,46,46,11,2300,12058,44372,52856,724
v17_both,550-599,29,25,25,11,1250,5535,16961,18884,1462
v17_both,600-905,208,153,153,49,7650,20355,77998,105653,3501
v17_fallback,0-149,87,0,67,23,0,13087,39434,56652,2763
v17_fallback,150-299,120,0,118,34,0,9720,30919,54066,2835
v17_fallback,300-549,99,0,46,15,0,13275,50938,60453,667
v17_fallback,550-599,27,0,27,18,0,5357,15210,16931,1337
v17_fallback,600-905,194,0,144,45,0,19201,72551,98511,3215
v17_keyframe,0-149,85,68,68,22,3400,12987,38138,55054,2602
v17_keyframe,150-299,122,121,121,34,6050,9979,31399,53319,2812
v17_keyframe,300-549,83,46,46,9,2300,11067,39702,47514,682
v17_keyframe,550-599,25,23,23,15,1150,4787,14023,15690,1300
v17_keyframe,600-905,208,131,131,51,6550,20482,78860,106356,3410
