case,dataset_id,method,profile,protocol_valid,matched_poses,coverage,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_rmse_m,rper_rmse_deg,estimated_poses,camera_sha16,keyframe_timeline_sha16,run_dir
whalfsphere_v18_seq,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_recovery_v18_pose_step_safeguard_precision,sequential_semantic_only,1,1064,0.29704075935231716,0.10326859429557261,0.08083913326794219,0.8817913911794865,0.014674409697132825,0.4730761914249161,1067,4074875b995b5e55,cea6d1858fcf62de,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/whalfsphere_v18_seq
whalfsphere_v21_default_seq_noheap,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,1064,0.29704075935231716,0.035221077857923395,0.021572723395977794,0.9457802640121983,0.017228813825490324,0.47862205466907154,1067,c0185bac338da422,7a5dc6307be784aa,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/whalfsphere_v21_default_seq_noheap
whalfsphere_v21_extreme_residual_only_seq_noheap,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,1064,0.29704075935231716,0.03570235498274334,0.021922108361944227,0.9451563767988373,0.016381409781289314,0.4682375252046266,1067,44271ad1863f386d,e0643ad41bd84461,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/whalfsphere_v21_extreme_residual_only_seq_noheap
wrpy_v18_seq,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v18_pose_step_safeguard_precision,sequential_semantic_only,1,906,0.2958850424559112,0.10362360910367951,0.06493409802449387,0.6786390570251812,0.024262857006975197,0.5544757313663313,909,513a26dd2e23c08a,5c3dd4ae2ec55b94,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v18_seq
wrpy_v18_seq_repeat,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v18_pose_step_safeguard_precision,sequential_semantic_only,1,906,0.2958850424559112,0.10362360910367951,0.06493409802449387,0.6786390570251812,0.024262857006975197,0.5544757313663313,909,513a26dd2e23c08a,5c3dd4ae2ec55b94,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v18_seq_repeat
wrpy_v21_accept_all_seq,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.20210740324329074,0.11518588861171847,0.46011207708241963,0.024953970447891556,0.6251615237232351,909,1d3cd2fb2928f049,c96723f8da535e37,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v21_accept_all_seq
wrpy_v21_accept_all_seq_noheap,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.10362360910367951,0.06493409802449387,0.6786390570251812,0.024262857006975197,0.5544757313663313,909,513a26dd2e23c08a,5c3dd4ae2ec55b94,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v21_accept_all_seq_noheap
wrpy_v21_default_seq_noheap,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,822,0.2684519921619856,0.3213866041621476,0.1458494706822067,0.2600207309523156,0.02244489428807464,1.2853719315903465,908,7e659a8ded974663,128389cdba71a101,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v21_default_seq_noheap
wrpy_v21_disabled_seq,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,0,906,0.2958850424559112,0.10362360910367951,0.06493409802449387,0.6786390570251812,0.024262857006975197,0.5544757313663313,909,513a26dd2e23c08a,5c3dd4ae2ec55b94,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v21_disabled_seq
wrpy_v21_extreme_residual_only_seq_noheap,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.2474832743661843,0.12489415133199366,0.38374109087599934,0.022515545872188816,0.5205673209270247,909,8a64c04f2a5881ad,389ce32c2f301ba2,/home/lj/dynamic-slam-public/runs/v21_sequential_equivalence_noavx_20260516_075000/wrpy_v21_extreme_residual_only_seq_noheap
