case,dataset_id,method,profile,protocol_valid,matched_poses,coverage,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_rmse_m,rper_rmse_deg,estimated_poses,camera_sha16,keyframe_timeline_sha16,run_dir,notes
wrpy_v21_loose_8_20,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.2118638548336853,0.11827144747802697,0.44151564824351897,0.022755652886565256,0.5337465962113774,909,cff4695240a3d6f4,49ff77b654ef206c,/home/lj/dynamic-slam-public/runs/v21_loose_residual_probe_noavx_20260516_082826/wrpy_v21_loose_8_20,V21 loose global residual threshold 8/20/1.0 on wrpy; rejects only extreme residuals but still collapses scale
whalfsphere_v21_loose_8_20,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_recovery_v21_residual_verified_pose_step_precision,sequential_semantic_only,1,1064,0.29704075935231716,0.11433086438760337,0.08841973000597822,0.8683363229092906,0.016408915967731894,0.5033091712060168,1067,005d1639d44ec607,7d324bfae04d7244,/home/lj/dynamic-slam-public/runs/v21_loose_residual_probe_noavx_20260516_082826/whalfsphere_v21_loose_8_20,V21 loose global residual threshold 8/20/1.0 on whalfsphere; too few rejects and loses V21 default gain
wrpy_v22_accept_all,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.10362360910367951,0.06493409802449387,0.6786390570251812,0.024262857006975197,0.5544757313663313,909,513a26dd2e23c08a,5c3dd4ae2ec55b94,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/wrpy_v22_accept_all,V22 accept-all equivalence control on wrpy; matches V18 exactly and validates no-heap contextual path
wrpy_v22_default,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.10282278904484675,0.06433541508209144,0.6804066314768874,0.024127515396453355,0.5502267887364389,909,b500dff96423383b,b91a60f5352009b6,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/wrpy_v22_default,V22 default contextual residual gate on wrpy; preserves pose-chain and slightly improves V18
whalfsphere_v22_default,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,1064,0.29704075935231716,0.11843472304161776,0.08436937553533776,0.8520689946089013,0.01558709281035295,0.4743903622768747,1067,f2a7c4c903732bce,afae64a321e2c7ef,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/whalfsphere_v22_default,V22 default contextual residual gate on whalfsphere; rejects too few hazardous corrections and loses V21 gain
wrpy_v22_tuned_c1,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,906,0.2958850424559112,0.243084822400607,0.1256621201340862,0.388710309830545,0.025886659460203392,0.6017112400276273,909,5a9720749c2d6c92,83a7c10adb0ec2a8,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/wrpy_v22_tuned_c1,"V22 tuned c1 on wrpy; only a few extra rejects but severe scale collapse, proving wrpy is highly reject-sensitive"
whalfsphere_v22_tuned_c1,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,1064,0.29704075935231716,0.11919420154590513,0.08259219051888807,0.847893297294864,0.015658829072584663,0.4740487459784394,1067,7d44acc9e7b956b8,4c2cf19d6f415101,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/whalfsphere_v22_tuned_c1,"V22 tuned c1 on whalfsphere; more rejects but still fails, so simple dynamic-grid threshold is insufficient"
wxyz_D_v22_default,ablation_ei_D_filtered_rgb_filtered_depth_wxyz,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,857,0.29715672676837723,0.016757359134640427,0.015321166090857902,0.97789751520666,0.011757579576555818,0.36303571598947354,859,cd6ed39016c620f7,bbb6e03a16fbf2e2,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/wxyz_D_v22_default,V22 default cross-sequence no-harm on wxyz D-filtered; safe and slightly improves V20
wxyz_A_raw_v22_default,ablation_ei_A_raw_rgb_raw_depth_wxyz,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,857,0.29715672676837723,0.016661798257148086,0.015333625536110665,0.978753872851904,0.011889482768041686,0.3784358255681966,859,9c7529db5925a5fd,114f890bdfbc6db4,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/wxyz_A_raw_v22_default,V22 default cross-sequence no-harm on wxyz raw; safe and slightly improves V20 raw
wstatic_v22_default,external_wstatic_rawrgb_rawdepth_mask,d2ma_recovery_v22_contextual_residual_pose_step_precision,sequential_semantic_only,1,740,0.29790660225442833,0.011824144876734546,0.01064950350055048,0.8185190326801975,0.011136178195812231,0.2503670929353635,743,e62e60b88f551981,eff679aa8f21d036,/home/lj/dynamic-slam-public/runs/v22_contextual_residual_gate_noavx_20260516_083959/wstatic_v22_default,V22 default negative control on walking_static; safe and improves V20/V19 SE3
