match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.345749851,0.212093106,-0.133656745,0.187111579,0.200596165,0.013484587,0.337648357,0.207159668,1.734085120,2.060488027,0.326402907
50,99,50,0.290106898,0.325359279,0.035252381,0.406413294,0.390325268,-0.016088026,0.282607889,0.322131661,1.443364658,1.439030140,-0.004334518
100,149,50,0.820193323,0.472192908,-0.348000415,0.170412795,0.137724686,-0.032688109,0.735049717,0.400848702,2.914706577,2.755254823,-0.159451755
150,199,50,1.474708916,0.899065701,-0.575643215,0.234122366,0.191593697,-0.042528669,1.472257553,0.897994629,7.099887108,5.384172049,-1.715715059
200,249,50,0.973234472,0.524684383,-0.448550089,0.086400928,0.054663812,-0.031737116,0.923431978,0.435418234,6.331355201,6.341372079,0.010016878
250,299,50,0.369060949,0.190291696,-0.178769253,0.072827732,0.065265660,-0.007562072,0.341810649,0.169953078,8.576504411,9.383456673,0.806952262
300,349,50,0.147896629,0.148699159,0.000802530,0.112985705,0.101540965,-0.011444739,0.143752428,0.127888704,14.094915502,31.017096240,16.922180738
350,399,50,0.083398278,0.103191597,0.019793319,0.089080530,0.076612903,-0.012467626,0.082518226,0.100394323,8.712329021,11.447875638,2.735546617
400,449,50,0.661372741,0.207937985,-0.453434755,0.072154776,0.054882311,-0.017272465,0.567714012,0.199092122,33.605344241,33.025401885,-0.579942356
450,499,50,0.900140177,0.226581278,-0.673558900,0.063313544,0.060738192,-0.002575352,0.900107340,0.222756550,8.099696569,15.229425213,7.129728644
500,549,50,0.949489456,0.301231457,-0.648257999,0.074649986,0.073020821,-0.001629164,0.949140020,0.300140223,7.305650800,9.428625826,2.122975027
550,599,50,0.946880499,0.380219245,-0.566661254,0.137968869,0.118489669,-0.019479200,0.937221396,0.377218712,7.644125216,7.269678269,-0.374446947
600,649,50,0.473796589,0.244261174,-0.229535415,0.112085366,0.091863089,-0.020222277,0.471160211,0.243090970,18.572731654,17.227707488,-1.345024167
650,699,50,0.757895419,0.276931697,-0.480963721,0.122625941,0.125047841,0.002421900,0.728406171,0.276038994,8.943468683,7.660022088,-1.283446595
700,749,50,1.170393857,0.345982631,-0.824411226,0.168465113,0.160696913,-0.007768200,1.169939322,0.344758617,5.831612168,6.391664327,0.560052159
750,799,50,1.158760713,0.359379910,-0.799380804,0.147784757,0.130618486,-0.017166271,1.158175961,0.359027053,7.337234137,8.578129866,1.240895729
800,849,50,1.565039496,0.874266971,-0.690772525,0.135620029,0.182970816,0.047350787,1.544559761,0.830564112,5.214386900,4.736853377,-0.477533523
850,899,50,2.009581020,1.269930979,-0.739650041,0.132375756,0.116165220,-0.016210536,2.009236398,1.269677783,3.675390590,3.613768231,-0.061622359
900,905,6,2.049373631,1.299607023,-0.749766608,0.164845469,0.133860989,-0.030984480,2.049368135,1.299601643,6.405937775,10.265916184,3.859978409
